DATESTAMP,influent bod (mg/L),influent flow (mgd),max influent flow (mgd),influent tss (mg/L),influent salinity (mg/L),influent sulfide (mg/L),rainfall (inches)
11/30/2021,,0.97,1.48,,,,0
12/1/2021,160,0.96,1.7,127,,,0
12/2/2021,,1.1,1.86,,,,0.07
12/3/2021,,1.04,2.06,,,,0
12/4/2021,,1.08,2.4,,,,0
12/5/2021,,1.14,2.34,,,,0
12/6/2021,,1.22,2.02,,,,0.25
12/7/2021,160,1.04,1.57,173,,,0
12/8/2021,,1.14,1.75,,7.4,0,0.17
12/9/2021,,1.11,1.68,,,,0
12/10/2021,,0.94,1.93,,,,0.1
12/11/2021,,1.06,2.58,,,,0.46
12/12/2021,,1.86,2.43,,,,0
12/13/2021,,1.25,1.85,,,,0
12/14/2021,220,0.89,1.52,203,,,0
12/15/2021,,0.83,1.37,,2.8,0,0.18
12/16/2021,,0.89,1.61,,,,0
12/17/2021,,0.84,1.69,,,,0
12/18/2021,,1.08,2.29,,,,0.95
12/19/2021,,1.64,3.09,,,,0.03
12/20/2021,,1.41,2.42,,,,0
12/21/2021,110,1.32,2.34,171,,,0
12/22/2021,,1.36,2.42,,2.8,0,0.07
12/23/2021,,1.3,2.17,,,,0
12/24/2021,,1.21,2.38,,,,0.02
12/25/2021,,1.28,2.36,,,,0.39
12/26/2021,,1.57,2.06,,,,0
12/27/2021,,1.42,2.25,,,,0.01
12/28/2021,200,1.41,2.55,197,,,0.06
12/29/2021,,1.37,2.46,,,,0
12/30/2021,,1.36,2.49,,8.8,0,0.6
12/31/2021,,1.46,2.32,,,,0
1/1/2022,,1.43,2.37,,,,0.33
1/2/2022,,2.08,3.38,,,,0
1/3/2022,,2.03,2.98,,,,0
1/4/2022,81,1.93,2.97,118,,,0
1/5/2022,,1.83,2.61,,7.7,0,0.15
1/6/2022,,1.91,2.5,,,,0.8
1/7/2022,,1.74,2.64,,,,0.63
1/8/2022,,1.85,2.55,,,,0.13
1/9/2022,,1.64,2.65,,,,0.02
1/10/2022,,1.81,2.78,,,,0
1/11/2022,110,1.61,2.79,154,,,0
1/12/2022,,1.66,2.2,,2.5,0,0
1/13/2022,,1.61,2.11,,,,0
1/14/2022,,1.72,2.43,,,,0
1/15/2022,,1.36,2.32,,,,0
1/16/2022,,1.17,2.31,,,,1.07
1/17/2022,,1.72,3.99,,,,1.17
1/18/2022,100,1.81,2.48,117,,,0
1/19/2022,,1.51,2.17,,,,0.15
1/20/2022,,1.48,2.16,,,,0.17
1/21/2022,,1.43,1.86,,2.5,0,0.03
1/22/2022,,1.4,1.85,,,,0
1/23/2022,,1.42,1.94,,,,0
1/24/2022,,1.33,2.31,,,,0.12
1/25/2022,170,1.28,2.23,140,,,0
1/26/2022,,1.22,1.5,,7,0,0
1/27/2022,,1.2,1.54,,,,0
1/28/2022,,1.22,1.61,,,,0.38
1/29/2022,,1.6,2.88,,,,1.65
1/30/2022,,2.13,4.14,,,,0.38
1/31/2022,,1.59,2.16,,,,0
2/1/2022,140,1.59,2.31,153,,,0
2/2/2022,,1.55,2.3,,,0,0
2/3/2022,,1.62,3.12,,,,0.8
2/4/2022,,2.57,4.66,,,,0.83
2/5/2022,,2.8,3.16,,,,0
2/6/2022,,2.42,2.84,,,,0
2/7/2022,,1.77,2.65,,,,1.02
2/8/2022,50,3.15,4.25,86,,,0.04
2/9/2022,,2.24,2.94,,2.2,0,0
2/10/2022,,2.01,2.58,,,,0.04
2/11/2022,,1.89,2.42,,,,0
2/12/2022,,1.95,2.61,,,,0
2/13/2022,,1.88,2.51,,,,0.9
2/14/2022,,1.77,2.35,,,,0.02
2/15/2022,94,1.51,1.93,99,,,0
2/16/2022,,1.38,2.11,,2.1,0,0
2/17/2022,,1.51,1.95,,,,0.72
2/18/2022,,2.46,3.57,,,,0.09
2/19/2022,,2.03,2.59,,,,0.06
2/20/2022,,1.67,2.16,,,,0
2/21/2022,,1.44,1.84,,,,0
2/22/2022,130,1.37,2,107,,,0.53
2/23/2022,,1.7,2.12,,4.4,0,0
2/24/2022,,1.38,1.97,,,,0.08
2/25/2022,,1.4,1.85,,,,0.72
2/26/2022,,2.12,3.9,,,,0
2/27/2022,,2.12,2.69,,,,0.03
2/28/2022,,1.33,1.77,,,,0
3/1/2022,130,1.28,1.75,142,,,0.24
3/2/2022,,1.54,2.32,,4.1,0,0
3/3/2022,,1.79,2.4,,,,0
3/4/2022,,1.64,1.96,,,,0
3/5/2022,,1.47,1.81,,,,0
3/6/2022,,1.51,2.01,,,,0
3/7/2022,,2.09,2.48,,,,0.01
3/8/2022,95,1.38,1.79,102,,,0
3/9/2022,,1.24,1.74,,2.7,0,0
3/10/2022,,1.33,2.49,,,,0
3/11/2022,,1.26,1.83,,,,0.01
3/12/2022,,1.44,2.37,,,,0.56
3/13/2022,,1.37,1.79,,,,0
3/14/2022,,1.6,2.42,,,,0
3/15/2022,150,1.35,2.06,216,,,0.07
3/16/2022,,1.27,2.02,,2.5,0,0
3/17/2022,,1.09,1.76,,,,0.13
3/18/2022,,1.29,2.35,,,,0
3/19/2022,,1.38,2.16,,,,0.28
3/20/2022,,1.49,2.04,,,,0
3/21/2022,,1.39,1.82,,,,0
3/22/2022,150,1.29,1.82,174,,,0
3/23/2022,,1.2,1.79,,7,0,0.41
3/24/2022,,1.42,1.98,,,,0.3
3/25/2022,,1.97,2.54,,,,0
3/26/2022,,1.76,2.53,,,,0.14
3/27/2022,,1.68,2.24,,,,0
3/28/2022,,1.52,2.14,,,,0.01
3/29/2022,130,1.39,1.93,132,,,0
3/30/2022,,1.32,1.86,,4.4,0,0
3/31/2022,,1.33,1.8,,,,0.15
4/1/2022,,1.68,2.23,,,,0.2
4/2/2022,,1.52,1.92,,,,0
4/3/2022,,1.47,1.95,,,,0.06
4/4/2022,,1.38,1.76,,,,0
4/5/2022,140,1.25,1.69,147,,,0
4/6/2022,,1.23,1.69,,,0,0.1
4/7/2022,,1.21,1.7,,5.2,,0.21
4/8/2022,,1.41,2.03,,,,0
4/9/2022,,1.32,1.9,,,,0.08
4/10/2022,,1.72,2.35,,,,0
4/11/2022,,1.15,1.68,,,,0.03
4/12/2022,200,1.18,1.88,231,,,0.06
4/13/2022,,1.11,5.45,,2.6,0,0
4/14/2022,,1.16,1.7,,,,0.09
4/15/2022,,1.22,3.31,,,,0
4/16/2022,,1.26,2.11,,,,0.56
4/17/2022,,1.41,1.89,,,,0
4/18/2022,,1.26,1.78,,,,1.34
4/19/2022,120,1.92,2.54,120,,,0.03
4/20/2022,,1.65,1.98,,7.6,0,0
4/21/2022,,1.41,1.78,,,,0
4/22/2022,,1.34,1.77,,,,0
4/23/2022,,1.29,1.79,,,,0
4/24/2022,,1.26,1.83,,,,0
4/25/2022,,1.16,4.18,,,,0
4/26/2022,140,1.12,2.22,173,,,0.3
4/27/2022,,1.24,2.34,,3.4,0,0.04
4/28/2022,,1.24,1.83,,,,0
4/29/2022,,1.19,1.47,,,,0
4/30/2022,,1.21,2.31,,,,0
5/1/2022,,1.2,2.34,,,,0
5/2/2022,,1.14,1.45,,,,0.2
5/3/2022,130,1.15,1.48,170,,,0
5/4/2022,,1.1,1.45,,3.8,0,0.12
5/5/2022,,1.08,1.65,,,,0
5/6/2022,,1.04,1.44,,,,0
5/7/2022,,1.09,1.43,,,,0
5/8/2022,,1.11,1.51,,,,0
5/9/2022,,1.09,2.28,,,,0
5/10/2022,99,1.1,1.87,203,,,0
5/11/2022,,1.02,1.82,,,0,0
5/12/2022,,0.91,1.37,,,,0
5/13/2022,,0.95,1.8,,,,0
5/14/2022,,0.97,1.8,,,,0.04
5/15/2022,,1.11,1.78,,,,0.01
5/16/2022,,1.21,1.87,,,,0.08
5/17/2022,120,1.46,4.32,175,,,0.01
5/18/2022,,1.22,2.05,,11.1,0,0.02
5/19/2022,,1.22,2.18,,,,0.06
5/20/2022,,1.19,1.55,,,,0.03
5/21/2022,,1.19,1.51,,,,0.04
5/22/2022,,1.19,2.11,,,,0
5/23/2022,,1.06,2.1,,,,0
5/24/2022,180,0.97,1.54,230,,,0
5/25/2022,,0.97,2.12,,6.5,0,0
5/26/2022,,0.93,1.45,,,,0
5/27/2022,,0.93,1.42,,,,0.15
5/28/2022,,1.01,1.49,,,,0.04
5/29/2022,,1.09,2.07,,,,0
5/30/2022,,1.04,1.53,,,,0
5/31/2022,180,0.96,1.4,204,,,0
6/1/2022,,0.91,1.17,,5.4,0.03,0.19
6/2/2022,,0.99,2.15,,,,0.03
6/3/2022,,0.92,1.26,,,,0.05
6/4/2022,,0.99,1.5,,,,0
6/5/2022,,0.92,1.8,,,,0
6/6/2022,,0.92,1.33,,,,0
6/7/2022,250,0.84,1.31,216,,,0.5
6/8/2022,,0.95,1.63,,6.8,0,0.12
6/9/2022,,1.12,2.22,,,,0.5
6/10/2022,,1.06,1.63,,,,0
6/11/2022,,1.03,2.17,,,,0
6/12/2022,,1.05,1.62,,,,0.16
6/13/2022,,1.15,1.65,,,,0
6/14/2022,140,1.15,1.67,179,,,0
6/15/2022,,1.25,2.1,,7,0,0
6/16/2022,,1.26,1.65,,,,0
6/17/2022,,1.23,1.57,,,,0.06
6/18/2022,,1.31,1.67,,,,0.14
6/19/2022,,1.27,1.68,,,,0.15
6/20/2022,,1.12,1.57,,,,0
6/21/2022,140,1.01,1.53,187,,,0
6/22/2022,,0.96,1.49,,9.5,0,0
6/23/2022,,0.93,1.48,,,,0
6/24/2022,,0.93,1.35,,,,0
6/25/2022,,0.93,3.79,,,,0
6/26/2022,,1,1.5,,,,0
6/27/2022,,1,1.51,,,,0.58
6/28/2022,150,0.98,1.44,245,,,0
6/29/2022,,0.98,1.67,,5.2,0,0
6/30/2022,,0.92,1.29,,,,0
7/1/2022,,0.99,1.42,,,,0.18
7/2/2022,,1.02,1.51,,,,0.02
7/3/2022,,1.06,1.7,,,,0
7/4/2022,,1.06,1.64,,,,0
7/5/2022,160,1.01,1.59,271,,,0.17
7/6/2022,,1.01,1.4,,5.9,0,0
7/7/2022,,0.92,1.46,,,,0
7/8/2022,,0.92,1.44,,,,0
7/9/2022,,0.94,1.42,,,,0
7/10/2022,,1.01,2.07,,,,0
7/11/2022,,0.99,1.58,,,,0
7/12/2022,170,1.02,1.61,221,,,0
7/13/2022,,1.17,2.01,,8.8,0,0.13
7/14/2022,,1.23,2.1,,,,0.04
7/15/2022,,1.22,2.04,,,,0
7/16/2022,,1.19,1.74,,,,0
7/17/2022,,1.22,1.72,,,,0
7/18/2022,,1.18,1.7,,,,0.81
7/19/2022,50,1.15,1.56,195,,0,0
7/20/2022,,1.04,1.48,,7.2,,0
7/21/2022,,0.98,1.44,,,,0
7/22/2022,,1.03,1.56,,,,0
7/23/2022,,1.01,1.46,,,,0
7/24/2022,,0.97,1.47,,,,0
7/25/2022,,1.04,1.52,,,,0
7/26/2022,190,0.94,1.4,198,,,0
7/27/2022,,0.94,1.41,,5.1,0,0
7/28/2022,,0.98,1.46,,,,0.13
7/29/2022,,0.98,1.33,,,,0.15
7/30/2022,,1.04,1.49,,,,0
7/31/2022,,1.03,1.53,,,,0.05
8/1/2022,,1,1.47,,,,0
8/2/2022,260,0.97,1.97,204,,,0
8/3/2022,,0.93,1.32,,7.3,0.6,0
8/4/2022,,0.96,1.41,,,,0
8/5/2022,,0.96,3.29,,,,0.34
8/6/2022,,1.1,1.59,,,,0.01
8/7/2022,,1.08,2.12,,,,0.04
8/8/2022,,0.99,4.65,,,,0
8/9/2022,120,1.1,2.08,247,,,0.13
8/10/2022,,1.12,2.11,,4.7,0,0
8/11/2022,,1.25,2.09,,,,0.04
8/12/2022,,1.3,2.15,,,,0
8/13/2022,,1.39,2.18,,,,0
8/14/2022,,1.39,4.47,,,,0
8/15/2022,,1.38,6.83,,,,0
8/16/2022,160,1.41,7.29,241,,,0.14
8/17/2022,,1.52,7.9,,12.2,0,0
8/18/2022,,,7.6,,,,0
8/19/2022,,,8.01,,,,0
8/20/2022,,,,,,,0
8/21/2022,,,,,,,0
8/22/2022,,,,,,,0.49
8/23/2022,490,,,771,,,0.09
8/24/2022,,,,,4.8,0,0
8/25/2022,,,,,,,0
8/26/2022,,1.06,3.56,,,,0.45
8/27/2022,,1.13,3.56,,,,0
8/28/2022,,1.09,1.69,,,,0
8/29/2022,,1.01,1.49,,,,0
8/30/2022,180,1.18,3.32,292,,,0.16
8/31/2022,,1.28,3.36,,4.7,0,0.5
9/1/2022,,1.23,1.67,,,,0
9/2/2022,,1.11,1.62,,,,0
9/3/2022,,1.11,1.7,,,,0
9/4/2022,,1.07,1.64,,,,0
9/5/2022,,1.1,3.42,,,,0.9
9/6/2022,150,1.28,3.45,254,,,0.35
9/7/2022,,1.36,4.34,,7.3,0,0
9/8/2022,,1.29,3.56,,,,0
9/9/2022,,1.39,3.79,,,,0
9/10/2022,,1.39,3.65,,,,0
9/11/2022,,1.52,3.68,,,,0.08
9/12/2022,,,,,,,0
9/13/2022,160,,,210,,,0.3
9/14/2022,,,,,10.8,0,0
9/15/2022,,,,,,,0
9/16/2022,,,,,,,0
9/17/2022,,,,,,,0
9/18/2022,,,,,,,0
9/19/2022,,,,,,,0.31
9/20/2022,120,,,345,,,0
9/21/2022,,,,,6.9,0,0
9/22/2022,,,,,,,0.87
9/23/2022,,,,,,,0
9/24/2022,,,,,,,0
9/25/2022,,,,,,,0.05
9/26/2022,,,,,,,0.13
9/27/2022,120,,,208,,,0
9/28/2022,,,,,9.2,0,0
9/29/2022,,,,,,,0
9/30/2022,,,,,,,0
10/1/2022,,,,,,,0
10/2/2022,,,,,,,0.01
10/3/2022,,,,,,,0.01
10/4/2022,120,,,195,,,1.1
10/5/2022,,,,,6.6,0,0.34
10/6/2022,,,,,,,0
10/7/2022,,,,,,,0.03
10/8/2022,,,,,,,0
10/9/2022,,,,,,,0
10/10/2022,,,,,,,0
10/11/2022,39,,,239,,,0
10/12/2022,,,,,7.6,0,0
10/13/2022,,,,,,,1.25
10/14/2022,,,,,,,0.65
10/15/2022,,,,,,,0
10/16/2022,,,,,,,0
10/17/2022,,,,,,,0.18
10/18/2022,150,,,183,,,0
10/19/2022,,,,,5.5,0,0
10/20/2022,,,,,,,0
10/21/2022,,,,,,,0
10/22/2022,,,,,,,0
10/23/2022,,,,,,,0.04
10/24/2022,,,,,,,0.17
10/25/2022,190,,,298,,,0.09
10/26/2022,,,,,6,0,0.28
10/27/2022,,,,,,,0.25
10/28/2022,,,,,,,0
10/29/2022,,,,,,,0
10/30/2022,,,,,,,0
10/31/2022,,,,,,,0.1
11/1/2022,160,1.05,,204,,,0.02
11/2/2022,,1.08,,,8.6,0,0
11/3/2022,,1.05,,,,,0
11/4/2022,,1.09,,,,,0
11/5/2022,,1.14,,,,,0
11/6/2022,,1.04,,,,,0
11/7/2022,,1.01,,,,,0
11/8/2022,190,0.99,,231,,,0
11/9/2022,,0.93,,,7.1,0,0
11/10/2022,,1.12,,,,,0
11/11/2022,,1.19,,,,,0.29
11/12/2022,,1.21,,,,,0.21
11/13/2022,,1.03,,,,,0
11/14/2022,,0.98,,,,,0
11/15/2022,200,1.27,,182,,,0.66
11/16/2022,,1.13,,,6,0,0.07
11/17/2022,,1.03,,,,,0
11/18/2022,,1.08,,,,,0
11/19/2022,,1.04,,,,,0
11/20/2022,,1,,,,,0
11/21/2022,,0.99,,,,,0
11/22/2022,140,1.13,,199,,,0
11/23/2022,,1.22,,,6.3,0,0
11/24/2022,,1.3,,,,,0
11/25/2022,,1.23,,,,,0.01
11/26/2022,,1.56,,,,,0
11/27/2022,,1.28,,,,,0.49
11/28/2022,,2.19,,,,,0
11/29/2022,210,1.73,,166,,,0
11/30/2022,,1.45,,,9.9,0,0.94
12/1/2022,,1.78,2.76,,,,0
12/2/2022,,1.41,1.84,,,,0
12/3/2022,,1.36,2.26,,,,0.25
12/4/2022,,1.42,2.28,,,,0
12/5/2022,,1.28,1.77,,,,0
12/6/2022,,1.27,3.14,194,,,0.97
12/7/2022,140,1.56,2.3,,3.5,0,0.26
12/8/2022,,1.78,2.36,,,,0
12/9/2022,,1.55,2.32,,,,0
12/10/2022,,1.63,2.62,,,,0.04
12/11/2022,,1.45,3.57,,,,0.17
12/12/2022,,1.44,1.82,,,,0
12/13/2022,,1.25,3.04,178,,,0
12/14/2022,100,1.37,1.78,,6.1,0,0.1
12/15/2022,,1.41,1.92,,,,0.29
12/16/2022,,1.85,4.31,,,,2.13
12/17/2022,,3.94,4.46,,,,0.13
12/18/2022,,2.62,3.04,,,,0
12/19/2022,,2.02,2.71,,,,0
12/20/2022,0,1.86,2.35,135,,,0
12/21/2022,110,1.8,2.88,,6.5,0,0
12/22/2022,,1.7,2.26,,,,1.09
12/23/2022,,3.36,6.55,,,,2.8
12/24/2022,,3.21,3.78,,,,0
12/25/2022,,2.45,3.05,,,,0
12/26/2022,,2.05,2.68,,,,0
12/27/2022,,1.97,2.54,,,,0
12/28/2022,,1.77,2.34,131,4.9,0,0
12/29/2022,290,1.62,2.17,,,,0
12/30/2022,,1.52,2.04,,,,0
12/31/2022,,1.51,2.06,,,,0.44
1/1/2023,,1.76,2.34,,,,0
1/2/2023,,1.63,2.22,,,,0
1/3/2023,110,1.57,2.24,,,,0.54
1/4/2023,,1.99,2.57,183,2.7,0,0.38
1/5/2023,,2.29,3.08,,,,0.01
1/6/2023,,2.36,2.86,,,,0.32
1/7/2023,,2.38,2.94,,,,0
1/8/2023,,2.07,2.61,,,,0
1/9/2023,,1.87,2.3,,,,0
1/10/2023,110,1.72,2.04,,,,0
1/11/2023,,1.6,1.93,118,3.6,0,0.03
1/12/2023,,1.49,1.93,,,,0.9
1/13/2023,,2.33,3.17,,,,0.05
1/14/2023,,2.31,2.62,,,,0.06
1/15/2023,,2.19,2.64,,,,0.23
1/16/2023,,2.25,2.58,,,,0.2
1/17/2023,160,2.04,2.48,,,,0.06
1/18/2023,,1.96,2.49,225,5.2,0,0
1/19/2023,,1.87,2.5,,,,0.91
1/20/2023,,2.46,4.3,,,,0.54
1/21/2023,,2.3,4.14,,,,0
1/22/2023,,1.77,3.28,,,,0.61
1/23/2023,,3.01,5.29,,,,1.25
1/24/2023,45,2.25,3.93,,,,0
1/25/2023,,2.34,2.96,69,2.7,0,1.05
1/26/2023,,3.68,5.62,,,,0.06
1/27/2023,,3.29,4.44,,,,0
1/28/2023,,2.32,3.25,,,,0
1/29/2023,,2.34,2.73,,,,0
1/30/2023,,2.17,2.78,,,,0.12
1/31/2023,,1.96,2.35,,,,0.1
2/1/2023,99,1.81,2.24,112,2.7,0,0
2/2/2023,,1.68,2.19,,,,0
2/3/2023,,1.64,2.24,,,,0
2/4/2023,,1.64,2.07,,,,0
2/5/2023,,1.54,2,,,,0
2/6/2023,,1.41,1.85,,,,0
2/7/2023,100,1.5,2.08,158,,,0.05
2/8/2023,,1.44,1.83,,4.9,0,0
2/9/2023,,1.31,1.76,,,,0.03
2/10/2023,,1.36,1.81,,,,0
2/11/2023,,1.28,1.81,,,,0
2/12/2023,,1.25,1.88,,,,0
2/13/2023,,1.24,1.72,,,,0
2/14/2023,130,1.34,1.86,184,,,0
2/15/2023,,1.24,1.69,,8.2,0,0
2/16/2023,,1.22,1.79,,,,0.02
2/17/2023,,1.29,2.1,,,,0.31
2/18/2023,,1.34,5.41,,,,0
2/19/2023,,1.3,2.04,,,,0
2/20/2023,,1.36,2.27,,,,0.23
2/21/2023,120,1.46,2.25,146,,,0.2
2/22/2023,,1.46,2.01,,8.4,0,0.82
2/23/2023,,1.76,2.48,,,,0.54
2/24/2023,,1.8,2.11,,,,0
2/25/2023,,1.61,1.99,,,,0.1
2/26/2023,,1.51,1.98,,,,0
2/27/2023,,1.44,1.97,,,,0.03
2/28/2023,,1.5,2.16,,,,0.68
3/1/2023,110,1.64,2.11,161,6.7,0,0.42
3/2/2023,,1.71,3.05,,,,0.22
3/3/2023,,1.69,2.23,,,,0.58
3/4/2023,,1.5,3.83,,,,0.75
3/5/2023,,2.49,2.96,,,,0
3/6/2023,,2.01,2.23,,,,0
3/7/2023,150,1.92,2.42,100,,,0
3/8/2023,,1.86,2.22,,4.7,0,0
3/9/2023,,1.81,2.41,,,,0
3/10/2023,,1.74,2.08,,,,0.12
3/11/2023,,1.77,2.33,,,,0.02
3/12/2023,,1.83,2.33,,,,0.01
3/13/2023,,1.67,2.02,,,,2.7
3/14/2023,42,2.63,6.76,146,,,0.64
3/15/2023,,0.71,5.73,,4.7,0,0
3/16/2023,,3.54,4.22,,,,0
3/17/2023,,2.53,4.44,,,,0.05
3/18/2023,,2.35,3.08,,,,0.02
3/19/2023,,2.04,2.79,,,,0
3/20/2023,,1.91,2.42,,,,0
3/21/2023,120,1.78,2.14,100,,,0
3/22/2023,,1.73,2.02,,5,0,0
3/23/2023,,1.7,2.14,,,,0.04
3/24/2023,,1.66,2.02,,,,0
3/25/2023,,1.58,1.95,,,,0.13
3/26/2023,,1.61,1.97,,,,0
3/27/2023,,1.44,1.9,,,,0.51
3/28/2023,120,1.58,2,123,,,0.22
3/29/2023,,1.44,1.92,,3.8,0,0.01
3/30/2023,,1.35,1.84,,,,0
3/31/2023,,1.29,1.8,,,,0.33
4/1/2023,,1.45,2.17,,,,0.54
4/2/2023,,1.52,2.06,,,,0.02
4/3/2023,,1.38,1.94,,,,0
4/4/2023,130,1.33,1.74,144,,,0
4/5/2023,,1.31,1.68,,5.1,0,0
4/6/2023,,1.34,2.18,,,,0
4/7/2023,,1.34,1.68,,,,0
4/8/2023,,1.29,1.86,,,,0
4/9/2023,,1.3,1.85,,,,0
4/10/2023,,1.18,1.63,,,,0
4/11/2023,140,1.18,1.77,162,,,0
4/12/2023,,1.17,1.58,,7.7,0,0
4/13/2023,,1.17,1.68,,,,0
4/14/2023,,1.16,1.71,,,,0
4/15/2023,,1.18,1.83,,,,0
4/16/2023,,1.2,1.84,,,,0
4/17/2023,,1.22,1.87,,,,0.07
4/18/2023,100,1.29,1.83,173,,,0
4/19/2023,,1.25,1.72,,7.2,0,0
4/20/2023,,1.17,1.58,,,,0
4/21/2023,,1.15,1.48,,,,0
4/22/2023,,1.23,1.85,,,,0.02
4/23/2023,,1.23,1.78,,,,0.5
4/24/2023,,1.3,1.62,,,,0.01
4/25/2023,170,1.18,1.56,212,,,0
